 AvgSpotLen	BioSample	Experiment	InsertSize	Instrument	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	actual_read_length	isolate	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	LibraryLayout	Platform	SRA_Study	age	cultivar	dev_stage	ecotype	geo_loc_name	tissue
200	SAMN06393028	SRX2607520	250	Illumina HiSeq 2000	other	GENOMIC	NITgmmDAACDAAPEI-85	02/03/2017	13091	9079	Begonia fuchsioides	02/03/2018	SRR5306255	SRS2012843	Beg_fu_3	101	250bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393029	SRX2607521	350	Illumina HiSeq 2000	other	GENOMIC	RSZAXPI007684-30	02/03/2017	18949	13183	Begonia fuchsioides	02/03/2018	SRR5306256	SRS2012844	Beg_fu_4	101	350bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393030	SRX2607522	350	Illumina HiSeq 2000	other	GENOMIC	NITgmmDAADDAAPEI-86	02/03/2017	11904	8421	Begonia fuchsioides	02/03/2018	SRR5306257	SRS2012845	Beg_fu_5	101	350bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393031	SRX2607523	500	Illumina HiSeq 2000	other	GENOMIC	RSZAIPI007455-37	02/03/2017	13884	9175	Begonia fuchsioides	02/03/2018	SRR5306258	SRS2012846	Beg_fu_6	101	500bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393032	SRX2607524	800	Illumina HiSeq 2000	other	GENOMIC	RSZAMPI007456-51	02/03/2017	11155	7386	Begonia fuchsioides	02/03/2018	SRR5306259	SRS2012847	Beg_fu_7	101	800bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393033	SRX2607525	2000	Illumina HiSeq 2000	other	GENOMIC	NITgmmDAADWAAPEI-90	02/03/2017	11752	7783	Begonia fuchsioides	02/03/2018	SRR5306260	SRS2012848	Beg_fu_8	101	2kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393034	SRX2607526	6000	Illumina HiSeq 2000	other	GENOMIC	NITgmmDAJDLAAPEI-149	02/03/2017	21041	9655	Begonia fuchsioides	02/03/2018	SRR5306261	SRS2012849	Beg_fu_9	101	6kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393035	SRX2610970	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI006199-23	03/03/2017	22153	8252	Casuarina glauca	09/03/2017	SRR5311005	SRS2019671	Cas_gl_1	101	170bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393036	SRX2610971	250	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006202-25	03/03/2017	21607	8360	Casuarina glauca	09/03/2017	SRR5311006	SRS2019672	Cas_gl_2	101	250bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393037	SRX2610972	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006205-24	03/03/2017	10532	4446	Casuarina glauca	09/03/2017	SRR5311007	SRS2019673	Cas_gl_3	101	350bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393038	SRX2610973	500	Illumina HiSeq 4000	other	GENOMIC	RSZAIPI006207-35	03/03/2017	17201	11424	Casuarina glauca	09/03/2017	SRR5311008	SRS2019674	Cas_gl_4	101	500bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393039	SRX2610974	800	Illumina HiSeq 4000	other	GENOMIC	RSZAMPI006210-39	03/03/2017	9430	6684	Casuarina glauca	09/03/2017	SRR5311009	SRS2019675	Cas_gl_5	101	800bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393040	SRX2610975	2000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAGDWAAPEI-43	03/03/2017	42510	18954	Casuarina glauca	09/03/2017	SRR5311010	SRS2019676	Cas_gl_6	101	2kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393041	SRX2610976	6000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDACDLAAPEI-122	03/03/2017	27828	12535	Casuarina glauca	09/03/2017	SRR5311011	SRS2019677	Cas_gl_7	101	6kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393042	SRX2610977	10000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAGDTAAPEI-45	03/03/2017	64860	28570	Casuarina glauca	09/03/2017	SRR5311012	SRS2019678	Cas_gl_8	101	10kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393043	SRX2610978	20000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAGDUAAPEI-84	03/03/2017	49614	21924	Casuarina glauca	09/03/2017	SRR5311013	SRS2019679	Cas_gl_9	101	20kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
100	SAMN06393044	SRX2613646	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI006907-98	06/03/2017	12347	4506	Cercis canadensis	12/03/2017	SRR5313937	SRS2024231	Cer_ca_1	101	170bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393045	SRX2613647	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI007590-130	06/03/2017	50573	19680	Cercis canadensis	12/03/2017	SRR5313938	SRS2024232	Cer_ca_2	101	170bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393046	SRX2613648	250	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006909-104	06/03/2017	24021	9759	Cercis canadensis	12/03/2017	SRR5313939	SRS2024233	Cer_ca_3	101	250bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393047	SRX2613649	250	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI007589-131	07/03/2017	49749	20150	Cercis canadensis	13/03/2017	SRR5313940	SRS2024234	Cer_ca_4	101	250bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393048	SRX2613650	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006908-108	06/03/2017	13808	6052	Cercis canadensis	12/03/2017	SRR5313941	SRS2024235	Cer_ca_5	101	350bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393049	SRX2613651	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI007588-132	06/03/2017	38603	15905	Cercis canadensis	13/03/2017	SRR5313942	SRS2024236	Cer_ca_6	101	350bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
300	SAMN06393050	SRX2613652	500	Illumina HiSeq 4000	other	GENOMIC	RSZAIPI006799-66	06/03/2017	14535	10374	Cercis canadensis	12/03/2017	SRR5313943	SRS2024237	Cer_ca_7	151	500bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
300	SAMN06393051	SRX2613653	800	Illumina HiSeq 4000	other	GENOMIC	RSZAMPI006795-59	06/03/2017	13249	9549	Cercis canadensis	12/03/2017	SRR5313944	SRS2024238	Cer_ca_8	151	800bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393052	SRX2613654	2000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDABDWAAPEI-114	06/03/2017	41618	17722	Cercis canadensis	12/03/2017	SRR5313945	SRS2024239	Cer_ca_9	101	2kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393053	SRX2613655	10000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAKDTAAPEI-160	06/03/2017	48694	22746	Cercis canadensis	12/03/2017	SRR5313946	SRS2024240	Cer_ca_10	101	10kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393054	SRX2613656	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI006911-101	07/03/2017	25462	10491	Chamaecrista fasciculata	13/03/2017	SRR5313947	SRS2024241	Cha_fa_1	101	170bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393055	SRX2613657	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI007595-142	07/03/2017	49595	18935	Chamaecrista fasciculata	13/03/2017	SRR5313948	SRS2024242	Cha_fa_2	101	170bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393056	SRX2613658	250	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006910-106	07/03/2017	23174	9391	Chamaecrista fasciculata	02/03/2018	SRR5313949	SRS2024243	Cha_fa_3	101	250bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393057	SRX2613659	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006912-109	07/03/2017	21334	9867	Chamaecrista fasciculata	13/03/2017	SRR5313950	SRS2024244	Cha_fa_4	101	350bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393058	SRX2613660	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI007596-143	07/03/2017	60731	24998	Chamaecrista fasciculata	13/03/2017	SRR5313951	SRS2024245	Cha_fa_5	101	350bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
300	SAMN06393059	SRX2613661	500	Illumina HiSeq 4000	other	GENOMIC	RSZAIPI006798-67	07/03/2017	17674	12667	Chamaecrista fasciculata	13/03/2017	SRR5313952	SRS2024246	Cha_fa_6	151	500bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393060	SRX2613662	500	Illumina HiSeq 4000	other	GENOMIC	RSZAIPI007482-15	07/03/2017	22234	14651	Chamaecrista fasciculata	13/03/2017	SRR5313953	SRS2024247	Cha_fa_7	101	500bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
300	SAMN06393061	SRX2613663	800	Illumina HiSeq 4000	other	GENOMIC	RSZAMPI006796-64	07/03/2017	12794	9251	Chamaecrista fasciculata	13/03/2017	SRR5313954	SRS2024248	Cha_fa_8	151	800bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393062	SRX2613664	800	Illumina HiSeq 4000	other	GENOMIC	RSZAMPI007481-17	07/03/2017	12277	8105	Chamaecrista fasciculata	13/03/2017	SRR5313955	SRS2024249	Cha_fa_9	101	800bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393063	SRX2613665	2000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAFDWAAPEI-141	07/03/2017	30115	13262	Chamaecrista fasciculata	13/03/2017	SRR5313956	SRS2024250	Cha_fa_10	101	2kp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393064	SRX2613666	2000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDALDWAAPEI-34	07/03/2017	25781	11054	Chamaecrista fasciculata	13/03/2017	SRR5313957	SRS2024251	Cha_fa_11	101	2kp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393065	SRX2613667	6000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAFDLAAPEI-148	07/03/2017	20745	9392	Chamaecrista fasciculata	13/03/2017	SRR5313958	SRS2024252	Cha_fa_12	101	6kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393066	SRX2613668	10000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDADDTAAPEI-13	07/03/2017	41488	18315	Chamaecrista fasciculata	13/03/2017	SRR5313959	SRS2024253	Cha_fa_13	101	10kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393067	SRX2613669	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI007089-39	07/03/2017	21378	13341	Datisca glomerata	13/03/2017	SRR5313960	SRS2024254	Dat_gl_1	101	170bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393068	SRX2613670	250	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI007090-40	07/03/2017	26756	11668	Datisca glomerata	13/03/2017	SRR5313961	SRS2024255	Dat_gl_2	101	250bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393069	SRX2613671	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI007086-37	07/03/2017	9456	6148	Datisca glomerata	13/03/2017	SRR5313962	SRS2024256	Dat_gl_3	101	350bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393070	SRX2613672	500	Illumina HiSeq 4000	other	GENOMIC	RSZAIPI007079-17	07/03/2017	35171	22766	Datisca glomerata	13/03/2017	SRR5313963	SRS2024257	Dat_gl_4	101	500bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393071	SRX2613673	800	Illumina HiSeq 4000	other	GENOMIC	RSZAMPI007082-18	07/03/2017	8157	5910	Datisca glomerata	13/03/2017	SRR5313964	SRS2024258	Dat_gl_5	101	800bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393072	SRX2613674	2000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDABDWAAPEI-142	07/03/2017	29507	12766	Datisca glomerata	13/03/2017	SRR5313965	SRS2024259	Dat_gl_6	101	2kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393073	SRX2613675	6000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDABDLAAPEI-150	07/03/2017	20147	9227	Datisca glomerata	13/03/2017	SRR5313966	SRS2024260	Dat_gl_7	101	6kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393074	SRX2613676	10000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDABDTAAPEI-161	07/03/2017	55941	25980	Datisca glomerata	13/03/2017	SRR5313967	SRS2024261	Dat_gl_8	101	10kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393075	SRX2613677	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI006200-27	07/03/2017	22422	8778	Discaria trinervis	13/03/2017	SRR5313968	SRS2024262	Dis_tr_1	101	170bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393076	SRX2613678	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI007597-147	07/03/2017	49579	18987	Discaria trinervis	13/03/2017	SRR5313969	SRS2024263	Dis_tr_2	101	170bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393077	SRX2613679	250	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006203-31	07/03/2017	25947	10686	Discaria trinervis	13/03/2017	SRR5313970	SRS2024264	Dis_tr_3	101	250bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393078	SRX2613680	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI006206-32	07/03/2017	15766	6899	Discaria trinervis	13/03/2017	SRR5313971	SRS2024265	Dis_tr_4	101	350bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393079	SRX2613681	500	Illumina HiSeq 4000	other	GENOMIC	RSZAIPI006208-40	07/03/2017	23143	14260	Discaria trinervis	13/03/2017	SRR5313972	SRS2024266	Dis_tr_5	101	500bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393080	SRX2613682	800	Illumina HiSeq 4000	other	GENOMIC	RSZAMPI006211-41	07/03/2017	9390	6630	Discaria trinervis	13/03/2017	SRR5313973	SRS2024267	Dis_tr_6	101	800bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393081	SRX2613683	2000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDACDWAAPEI-34	07/03/2017	36405	16283	Discaria trinervis	13/03/2017	SRR5313974	SRS2024268	Dis_tr_7	101	2kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393082	SRX2613684	170	Illumina HiSeq 4000	other	GENOMIC	RSZABPI007087-43	07/03/2017	22697	8880	Dryas drummondii	13/03/2017	SRR5313975	SRS2024269	Dry_dr_1	101	170bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393083	SRX2613685	250	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI007083-41	07/03/2017	32676	13432	Dryas drummondii	13/03/2017	SRR5313976	SRS2024270	Dry_dr_2	101	250bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393084	SRX2613686	350	Illumina HiSeq 4000	other	GENOMIC	RSZAXPI007084-42	07/03/2017	15574	6786	Dryas drummondii	13/03/2017	SRR5313977	SRS2024271	Dry_dr_3	101	350bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393085	SRX2613687	500	Illumina HiSeq 4000	other	GENOMIC	RSZAIPI007093-20	07/03/2017	26535	18121	Dryas drummondii	13/03/2017	SRR5313978	SRS2024272	Dry_dr_4	101	500bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393086	SRX2613688	800	Illumina HiSeq 4000	other	GENOMIC	RSZAMPI007081-21	07/03/2017	6458	4713	Dryas drummondii	13/03/2017	SRR5313979	SRS2024273	Dry_dr_5	101	800bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393087	SRX2613689	2000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAGDWAAPEI-143	07/03/2017	31461	14208	Dryas drummondii	13/03/2017	SRR5313980	SRS2024274	Dry_dr_6	101	2kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393088	SRX2613690	6000	Illumina HiSeq 4000	other	GENOMIC	NITgmmDAGDLAAPEI-152	07/03/2017	17739	8211	Dryas drummondii	13/03/2017	SRR5313981	SRS2024275	Dry_dr_7	101	6kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
